ID	pvalue
GO:0051028	0.000706024095268711
GO:0006403	0.000770021884268883
GO:0098813	0.000779831887199287
GO:0002064	0.000783380091676948
GO:0002483	0.000834378770985123
GO:0033044	0.000851866131515085
GO:0044843	0.000851866131515085
GO:0090329	0.000862623329368527
GO:0045765	0.000887046698536432
GO:0002753	0.000888012410179978
GO:0042270	0.000923037093663927
GO:0090269	0.000923037093663927
GO:0090270	0.000923037093663927
GO:1902292	0.000923037093663927
GO:1902315	0.000923037093663927
GO:1902975	0.000923037093663927
GO:0030174	0.000930050519642936
GO:0022626	1.67960241955666e-47
GO:0022625	1.82671942819601e-31
GO:0044391	6.38195011190761e-31
GO:0005840	7.32472244724019e-31
GO:0022627	1.05979539173894e-23
GO:1990904	4.59355675765574e-23
GO:0042788	1.97208579448617e-18
GO:0005844	2.31179943917041e-18
GO:0015934	6.82008325205056e-18
GO:0015935	3.01821222579818e-15
GO:0030055	7.49237588000129e-09
GO:0005925	1.00892929705407e-08
GO:0098687	3.54042275931406e-08
GO:0032040	1.03279401483318e-07
GO:0030684	1.47566729795966e-07
GO:0071162	4.40127914034911e-06
GO:0000781	1.25707098720532e-05
GO:0034399	2.15822500232213e-05
GO:0031261	2.75616114855127e-05
GO:0000922	4.58039613002273e-05
GO:0042555	6.07272792507617e-05
GO:0000502	9.95536353611623e-05
GO:1902911	0.000140430589677066
GO:0005657	0.000152836528243654
GO:0098800	0.000160305288347128
GO:0005813	0.000183473302825024
GO:0098556	0.000193394437325662
GO:0005819	0.000272081027661424
GO:0016363	0.00037553097636406
GO:1905369	0.000420992712470409
GO:0005791	0.00043595191154671
GO:0036464	0.000439465310312948
GO:0016328	0.000572357664238254
GO:1902554	0.000754284837671977
GO:0005751	0.000755741233088493
GO:0022624	0.000755741233088493
GO:0042575	0.000841256525453931
GO:0000796	0.000936776152092887
GO:0014731	0.000936776152092887
GO:0042824	0.000936776152092887
GO:0000775	0.000946713642663514
GO:0061695	0.00111324595644586
GO:0035770	0.00112543627403932
GO:0000792	0.00148517965206789
GO:0000793	0.00149478600128106
GO:0044611	0.00164108706618833
GO:0005721	0.00164942244702517
GO:0008540	0.00190288411644217
GO:0045277	0.00208060461723873
GO:0033290	0.00209183000414437
GO:0000307	0.00221812635901663
GO:1990316	0.00238101310761826
GO:0098803	0.00238807376582469
GO:0003735	1.71829986991622e-33
GO:0005198	9.8406551385557e-17
GO:0019887	2.05916497792744e-08
GO:0019207	5.76619381292297e-08
GO:0019843	6.02921093016804e-07
GO:0004386	6.52164084072298e-07
GO:0003729	1.49662913717735e-06
GO:0016538	2.4269791203468e-06
GO:1990948	2.50902687871099e-06
GO:0003678	3.61872342762867e-06
GO:0045296	4.46695035772995e-06
GO:0055105	4.93059745096588e-06
GO:0048027	9.73934770506992e-06
GO:0140657	1.15421150878185e-05
GO:0019210	1.67692705629095e-05
GO:0003682	1.74978544334823e-05
GO:0004860	2.15014359136129e-05
GO:0003688	2.58553300861501e-05
GO:0090079	4.72782468633531e-05
GO:0008135	6.3875565841719e-05
GO:0019209	7.34855613379826e-05
GO:0016887	7.4994922594124e-05
GO:0008094	7.83553353761899e-05
GO:0030295	0.000108748983923767
GO:0045182	0.00012422167406551
GO:0055106	0.000147200294976051
GO:0017116	0.000154729105891395
GO:0019838	0.000157692106706177
GO:0030291	0.000220512887402281
GO:0050839	0.000258404397337913
GO:0061575	0.000310994843571018
GO:0043539	0.000410208535766823
GO:0046977	0.000417903264140709
GO:0044389	0.000498535622179209
GO:0031625	0.000547387111317151
GO:0140097	0.000769915013365708
GO:0097371	0.000791513816709293
GO:0008186	0.000900303862336764
